field_name_adj,year,indicator,cost,indicator_name
Belridge South,1977,m_opex_imputed,,OpEx
Belridge South,1977,m_capex_imputed,,CapEx
Belridge South,1978,m_opex_imputed,1.3893687125,OpEx
Belridge South,1978,m_capex_imputed,5.4426493625,CapEx
Belridge South,1979,m_opex_imputed,1.8282705875,OpEx
Belridge South,1979,m_capex_imputed,5.5552810125,CapEx
Belridge South,1980,m_opex_imputed,2.6727713375,OpEx
Belridge South,1980,m_capex_imputed,5.7521925,CapEx
Belridge South,1981,m_opex_imputed,4.1769489625,OpEx
Belridge South,1981,m_capex_imputed,6.265807,CapEx
Belridge South,1982,m_opex_imputed,6.5784298375,OpEx
Belridge South,1982,m_capex_imputed,6.627265,CapEx
Belridge South,1983,m_opex_imputed,3.819102575,OpEx
Belridge South,1983,m_capex_imputed,6.096731375,CapEx
Belridge South,1984,m_opex_imputed,3.772085575,OpEx
Belridge South,1984,m_capex_imputed,6.052613625,CapEx
Belridge South,1985,m_opex_imputed,5.3755693125,OpEx
Belridge South,1985,m_capex_imputed,6.15529675,CapEx
Belridge South,1986,m_opex_imputed,3.5164679375,OpEx
Belridge South,1986,m_capex_imputed,5.966035,CapEx
Belridge South,1987,m_opex_imputed,3.5953784375,OpEx
Belridge South,1987,m_capex_imputed,5.837385375,CapEx
Belridge South,1988,m_opex_imputed,3.5507338125,OpEx
Belridge South,1988,m_capex_imputed,6.063041375,CapEx
Belridge South,1989,m_opex_imputed,3.8685281875,OpEx
Belridge South,1989,m_capex_imputed,6.133472875,CapEx
Belridge South,1990,m_opex_imputed,4.4985319375,OpEx
Belridge South,1990,m_capex_imputed,6.267655125,CapEx
Belridge South,1991,m_opex_imputed,4.1993643125,OpEx
Belridge South,1991,m_capex_imputed,6.252387625,CapEx
Belridge South,1992,m_opex_imputed,3.8396384375,OpEx
Belridge South,1992,m_capex_imputed,6.455913625,CapEx
Belridge South,1993,m_opex_imputed,3.7376194375,OpEx
Belridge South,1993,m_capex_imputed,6.065754375,CapEx
Belridge South,1994,m_opex_imputed,3.7719993125,OpEx
Belridge South,1994,m_capex_imputed,6.104041,CapEx
Belridge South,1995,m_opex_imputed,3.8481691875,OpEx
Belridge South,1995,m_capex_imputed,6.14960275,CapEx
Belridge South,1996,m_opex_imputed,4.1456731875,OpEx
Belridge South,1996,m_capex_imputed,6.215583,CapEx
Belridge South,1997,m_opex_imputed,4.1962834375,OpEx
Belridge South,1997,m_capex_imputed,6.323490875,CapEx
Belridge South,1998,m_opex_imputed,4.0615133125,OpEx
